,CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,City,State
457,"Stockton-Lodi, CA",44700,2014,365,159,172,33,1,0,0,152,99,54,0,2,224,133,6,Stockton-Lodi, CA
473,"Truckee-Grass Valley, CA",46020,2014,365,214,117,33,1,0,0,163,100,46,0,0,358,7,0,Truckee-Grass Valley, CA
479,"Ukiah, CA",46380,2014,365,292,73,0,0,0,0,95,58,38,0,0,166,198,1,Ukiah, CA
483,"Vallejo-Fairfield, CA",46700,2014,365,254,108,3,0,0,0,124,67,43,0,1,172,192,0,Vallejo-Fairfield, CA
490,"Visalia-Porterville, CA",47300,2014,365,70,171,97,27,0,0,169,145,84,0,0,223,141,1,Visalia-Porterville, CA
520,"Yuba City, CA",49700,2014,365,182,170,12,1,0,0,156,82,51,0,5,200,159,1,Yuba City, CA
30,"Bakersfield, CA",12540,2015,365,44,199,93,28,1,0,201,146,84,0,1,231,129,4,Bakersfield, CA
47,"Bishop, CA",13860,2015,365,203,141,12,6,0,3,1383,90,48,0,0,286,29,50,Bishop, CA
88,"Chico, CA",17020,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1,Chico, CA
93,"Clearlake, CA",17340,2015,363,351,11,1,0,0,0,148,47,36,0,0,361,2,0,Clearlake, CA
112,"Crescent City, CA",18860,2015,114,106,8,0,0,0,0,69,39,15,0,0,0,114,0,Crescent City, CA
141,"El Centro, CA",20940,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86,El Centro, CA
152,"Eureka-Arcata-Fortuna, CA",21700,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6,Eureka-Arcata-Fortuna, CA
173,"Fresno, CA",23420,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5,Fresno, CA
202,"Hanford-Corcoran, CA",25260,2015,365,90,205,60,10,0,0,174,119,71,0,0,197,131,37,Hanford-Corcoran, CA
282,"Los Angeles-Long Beach-Anaheim, CA",31080,2015,365,23,208,96,37,1,0,203,151,80,0,25,187,151,2,Los Angeles-Long Beach-Anaheim, CA
287,"Madera, CA",31460,2015,365,109,209,43,4,0,0,154,105,63,0,0,223,127,15,Madera, CA
301,"Merced, CA",32900,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,147,1,Merced, CA
311,"Modesto, CA",33700,2015,365,127,190,43,5,0,0,187,112,59,0,0,202,154,9,Modesto, CA
327,"Napa, CA",34900,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,216,2,Napa, CA
349,"Oxnard-Thousand Oaks-Ventura, CA",37100,2015,365,183,169,13,0,0,0,126,84,50,0,4,226,131,4,Oxnard-Thousand Oaks-Ventura, CA
385,"Red Bluff, CA",39780,2015,365,231,115,18,1,0,0,153,87,45,0,0,311,52,2,Red Bluff, CA
387,"Redding, CA",39820,2015,365,256,96,12,1,0,0,156,84,44,0,0,354,11,0,Redding, CA
391,"Riverside-San Bernardino-Ontario, CA",40140,2015,365,17,179,118,44,7,0,238,159,97,0,15,190,107,53,Riverside-San Bernardino-Ontario, CA
